{b2191b3f-2453-4d7c-a027-8babfb1c93e1} event:/ambience/dungeon/cove
{34fba60b-d6ba-46e7-9950-6d43e2537353} event:/ambience/dungeon/crypts
{46267cc0-5c95-4569-a8c6-dbf4a325429c} event:/ambience/dungeon/town
{25643d20-78d1-4e92-a8d7-4aaae4816571} event:/ambience/dungeon/warrens
{6f5a356f-246c-4275-9584-eef0aa71f361} event:/ambience/dungeon/weald
{274ea843-dc85-4712-ae13-1ca8d45c231f} event:/ambience/dungeon/quest/plot_crow_trinket
{ef7467d0-57f4-4f00-a560-39ae480e1180} event:/ambience/dungeon/quest/plot_darkest_dungeon_1
{1ff28231-ff77-42c2-86fd-3981675ad107} event:/ambience/dungeon/quest/plot_darkest_dungeon_2
{c3e24429-8fd4-4b01-bec7-bbb83372220a} event:/ambience/dungeon/quest/plot_darkest_dungeon_3
{ec6e9678-0359-49fe-a3cb-02cf626ba2d2} event:/ambience/dungeon/quest/plot_darkest_dungeon_4
{677487e6-5cb1-486d-a4ed-185d13b9b828} event:/ambience/dungeon/quest/plot_trinket_retention_0
{d01b42f9-e08f-4336-a990-b16873f17c4c} event:/ambience/dungeon/quest/plot_trinket_retention_1
{5fbdc0d3-74fa-437d-b2c3-582f9f1cbedd} event:/ambience/dungeon/quest/plot_trinket_retention_2
{b17286f2-b9ce-4fe2-adeb-4140063e1be5} event:/ambience/local/campfire
{10637d57-82a0-4d88-98f5-ec7bfe735844} event:/ambience/town/abbey
{6a5aff26-0ac5-4ba5-8238-78a2b8799a71} event:/ambience/town/blacksmith
{53b16645-693d-48ba-9d50-73d4f4927041} event:/ambience/town/camping_trainer
{7e279721-50e6-4952-a149-089183f4ef1e} event:/ambience/town/general
{89dfec72-f73d-491d-9ff9-13d1b6d0b2ee} event:/ambience/town/general_2
{9fd32d15-bdbc-46a0-9a36-3e53bb5726f7} event:/ambience/town/graveyard
{eeb73250-0956-40ba-af51-965c5c159891} event:/ambience/town/guild
{7ed37210-0279-4218-b091-3dbc88bfaa82} event:/ambience/town/sanitarium
{7aebafe4-10e8-46cf-8ac7-b65cfdd7e97a} event:/ambience/town/statue
{cf08b696-6d4d-4772-85b8-1f41fa212979} event:/ambience/town/tavern
{d87739db-a2ac-46d4-950b-71c694a5ab68} event:/camp/skill/abandon_hope
{6841ab9a-f49e-46fd-9c30-b932c31d1300} event:/camp/skill/anger_management
{e232efb2-7ff6-4d9c-ae66-a1704f6a7ece} event:/camp/skill/bandits_sense
{c6faf789-84e8-456a-8ba6-424210709803} event:/camp/skill/battle_trance
{b12fa13a-684a-4d4e-878b-c2c589d9e7c5} event:/camp/skill/bless
{61d18fd8-9574-4bc1-874f-30a7be592d22} event:/camp/skill/bloody_shroud
{e3da3e30-636b-42af-af8d-82d265be82e6} event:/camp/skill/chant
{3684cf86-025e-4e09-ac03-b525d0fdde6e} event:/camp/skill/clean_guns
{d7189452-fc07-43cc-9fc5-316d0721e93d} event:/camp/skill/clean_musket
{01cdc6a8-a8af-49b2-8ca6-37495cbfc4b3} event:/camp/skill/curious_incantation
{0fc8c1e8-0801-4c6d-aa4b-458c08ab7a2f} event:/camp/skill/dark_ritual
{5d772144-f2ed-4a4e-ada5-8a8019a16d99} event:/camp/skill/dark_strength
{8a6118c4-8a9b-4ff9-8fc7-94b70659c212} event:/camp/skill/eldritch_blood
{97e9bc46-d613-4566-854c-ed52a1110e05} event:/camp/skill/encourage
{dd6b05b6-7d6f-4fe6-b965-9bef2f3699c6} event:/camp/skill/every_rose
{48923ed4-6395-4900-8eb2-9617217f54b5} event:/camp/skill/experimental_vapours
{760c4c5d-56b8-4ebb-87cb-5702bb92c230} event:/camp/skill/field_dressing
{3640282b-e361-4fcc-9b08-4e895c9807aa} event:/camp/skill/first_aid
{a3234350-8b8f-4ac0-bdbb-735580bf3069} event:/camp/skill/forage
{9f2ad2a9-c98f-4da2-9109-c5a561fba50a} event:/camp/skill/gallows_humor
{76e00039-f7cc-42dc-855e-d03166bf0843} event:/camp/skill/hobby
{912dab11-8578-4a86-a8cf-3d83600525e8} event:/camp/skill/hounds_watch
{2a3df6d8-4341-4d2f-99cf-0f42bd39590e} event:/camp/skill/how_its_done
{f56be62a-459d-4923-83ce-e710f1bddc87} event:/camp/skill/instruction
{f42a8621-b676-4bc6-ae58-d980693211a5} event:/camp/skill/leeches
{12131ee3-8870-40fb-ae8e-c296a39df501} event:/camp/skill/let_the_mask_down
{569f8a96-ed40-4ede-a895-91b57345558c} event:/camp/skill/maintain_equipment
{8dda0177-f2ab-4a6d-85d1-619e78be51c3} event:/camp/skill/marching_plan
{95c053d4-c57d-4a90-8527-a66601cf3e67} event:/camp/skill/mockery
{fcf11bb1-d5e7-45a1-9b05-6a8b332f4eb5} event:/camp/skill/night_steps
{6d872381-8644-4e14-bab0-d358d89a35eb} event:/camp/skill/pep_talk
{6b6b92e3-ae7d-408f-ad40-ed24ea18a7c7} event:/camp/skill/perimeter_alarms
