,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1,Hive,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,CURIO TRACKER ID,STRING,NOTES
,,cc_hive,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,3,75.00%,A_COURTYARD,1,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,<- # Draws,,The hive holds valuables!,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,1,25.00%,Bleed 2,1,50.00%,Bleed 1,1,50.00%,,,,,The hive's inhabitants sting and bite the hero's exposed flesh!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,Scrounging,Knowledge,Teleport,,,,,,,,,,,,,,
,,CCrave,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,torch,Loot,,A_COURTYARD,2,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,25.00%,loot,The vermin sizzle and pop as the hive burns to ash.,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2,Damned Fountain of Vitality,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_damned_fountain,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,1,20.00%,A_COURTYARD,1,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,<- # Draws,,Treasure lies in the gore-filled basin!,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,3,60.00%,Bleed 1,1,100.00%,,,,,,,,The hero's scars weep and open when bathed in the crimson fluid!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,Drink,Fountain,Teleport,,,,,,,,,,,,,,
,,CCrave,Unholy,Disease,1,20.00%,curio_curse,1,100.00%,,,,,,,,This bloody artifact invites ailment!,
,,Haunted,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,holy_water,Effect,,ConfessionBoothHealStress2,1,<- # Draws,,,<- # Draws,,,,heal_stress,The purified liquid offers a surprising boon!,
,,,,torch,Effect,,Stress 1,1,100.00%,,,<- # Draws,,,,stress,Burning the blood stings the nostrils and turns the stomach.,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,3,Pile of Vampire Bones,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_bone_pile,,Nothing,2,20.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,These remains hold no danger nor anything of value either.,
,,REGION FOUND,,Loot,2,20.00%,A_COURTYARD,1,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,<- # Draws,,Baubles and other items of value are found in the grisly remains!,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,5,100.00%,Bleed 1,1,100.00%,,,,,,,,An insectoid mandible pierces the hero's skin!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,Unholy,Scrounging,Teleport,,,,,,,,,,,,,,
,,Haunted,Knowledge,Disease,1,10.00%,curio_curse,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,bandage,Loot,,A_COURTYARD,1,50.00%,BLOOD_LOW,1,50.00%,,,,loot,Cloth is used to protect fragile flesh against the barbs and mandibles.,
,,,,the_blood#estate,Summon,,egg_cluster_1,1,100.00%,,,,,,,summon,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,4,Egg Cluster,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_egg_cluster,,Nothing,2,50.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"The eggs are dried, hollow and empty.",
