Curio Prop Name,Sprite Reference,Curio Type,UI String Name,Audio Event Name
com_provisionbox_1,com_provisionbox_1,com_provisionbox_1,com_provisionbox_1,com_provisionbox_1
com_provisionbox_2,com_provisionbox_2,com_provisionbox_2,com_provisionbox_2,com_provisionbox_2
com_hero_health_heal,com_hero_health_heal,com_hero_health_heal,com_hero_health_heal,com_hero_health_heal
com_hero_stress_heal,com_hero_stress_heal,com_hero_stress_heal,com_hero_stress_heal,com_hero_stress_heal
com_party_health_heal,com_party_health_heal,com_party_health_heal,com_party_health_heal,com_party_health_heal
com_party_stress_heal,com_party_stress_heal,com_party_stress_heal,com_party_stress_heal,com_party_stress_heal
com_millerwife_curio,com_millerwife_curio,com_millerwife_curio,com_millerwife_curio,com_millerwife_curio
com_treasure,com_treasure,com_treasure,com_treasure,com_treasure
com_fireplace,com_fireplace,com_fireplace,com_fireplace,com_fireplace
com_standingstone,com_standingstone,com_standingstone,com_standingstone,com_standingstone
