,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1,COM_ProvisionArmoire,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,CURIO TRACKER ID,STRING,NOTES
,,com_provisionbox_1,,Nothing,1,33.33%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,2,66.67%,COM_PROVISION_1,4,100.00%,,,,,,,,Every little bit helps.,
,,COM,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,skeleton_key,Loot,,T,1,20.00%,P,4,80.00%,,,,loot,A hidden panel comes loose!,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2,COM_ProvisionChest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,com_provisionbox_2,,Nothing,1,33.33%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,2,66.67%,COM_PROVISION_2,4,100.00%,,,,,,,,,
,,COM,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,skeleton_key,Loot,,T,1,20.00%,P,4,80.00%,,,,loot,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,3,HeroHealthHeal,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,com_hero_health_heal,,Nothing,,,,,,,,,,,,,,
,,REGION FOUND,,Loot,,,,,,,,,,,,,,
,,COM,,Quirk,,,,,,,,,,,,,,
